Icon,Facility Type,Facility Name,Distance (km),Alert Zone,Pip Flooded,Ovt Flooded,Pip Depth (m),Ovt Depth (m),Pip Arrival (h),Ovt Arrival (h),Remarks
🌉,Bridge,Bridge — Sarjapur — Sarjapur — Sarjapur,10.49,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — virag — virag — virag,10.49,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Raleras — Raleras — Raleras,11.78,Zone II,YES,YES,6.33,8.9,5.92,2.27,⚠️ FLOODED — OPERATIONS DISRUPTED
🌉,Bridge,Bridge — Raleras — Raleras — Raleras,11.79,Zone II,YES,YES,6.33,8.81,5.92,2.26,⚠️ FLOODED — OPERATIONS DISRUPTED
🌉,Bridge,Bridge — Raleras — Raleras — Raleras,11.8,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Raleras — Raleras — Raleras,11.99,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Raleras — Raleras — Raleras,12.04,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Raleras — Raleras — Raleras,12.38,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Raleras — Raleras — Raleras,12.9,Zone II,NO,YES,,2.3,—,2.58,⚠️ FLOODED — OPERATIONS DISRUPTED
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,13.4,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,13.54,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Sasure — Sasure — Sasure,13.8,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,14.16,Zone II,NO,NO,,,—,—,Safe — Monitor
🏥,Primary Health Centre (PHC),"PHC, Vairag — Vairag — Vairag — Vairag",14.2,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Ladole — Ladole — Ladole,14.2,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,14.2,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,14.21,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,14.21,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,14.21,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,14.21,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,14.21,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,14.21,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — virag — virag — virag,14.24,Zone II,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Sasure — Sasure — Sasure,14.91,Zone II,YES,YES,2.2,3.88,6.92,2.91,⚠️ FLOODED — OPERATIONS DISRUPTED
🌉,Bridge,Bridge — Sasure — Sasure — Sasure,15.74,Zone II,NO,YES,,1.15,—,3.23,⚠️ FLOODED — OPERATIONS DISRUPTED
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,16.13,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,16.13,Zone III,NO,NO,,,—,—,Safe — Monitor
⚡,Electricity Substation,Vairag 220/33 KV ss — Vairag — Vairag — Vairag,16.16,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,16.16,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.16,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.18,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,16.18,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.59,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.61,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.61,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.62,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Vairag — Vairag — Vairag,16.62,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.62,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.62,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.62,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.62,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.62,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge,16.62,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Dahithane — Dahithane — Dahithane,17.46,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Raleras — Raleras — Raleras,19.23,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Mungshi — Mungshi — Mungshi,19.31,Zone III,NO,NO,,,—,—,Safe — Monitor
🌉,Bridge,Bridge — Waluj — Waluj — Waluj,23.82,Zone III,YES,YES,3.68,6.17,9.42,4.24,⚠️ FLOODED — OPERATIONS DISRUPTED
