osm_id,category,name,name_mr,amenity,office,operator,phone,addr,pip_inund,ovt_inund,dist_dam_km,pip_dep_max,pip_vel_max,pip_arr_min,pip_ev_cod,pip_ev_win,ovt_dep_max,ovt_vel_max,ovt_arr_min,ovt_ev_cod,ovt_ev_win
13477044545,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044546,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044547,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044548,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044549,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044550,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044551,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044552,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044553,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044554,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044555,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044556,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044557,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044558,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044559,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044560,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044561,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044562,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044563,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044564,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044565,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
13477044566,Water Well,Water Well,,,,,,,False,False,0.0,,,,P5,8+ hours,,,,P5,8+ hours
1365347375,Water Well,Water Well — Ladole — Ladole — Ladole,,,,,,,False,False,14.197,,,,P5,8+ hours,,,,P5,8+ hours
